district,y,m,pop
Adan Yabaal,2013,1,77072
Afgooye,2013,1,382465
Afmadow,2013,1,153276
Baardheere,2013,1,148992
Badhaadhe,2013,1,70706
Baki,2013,1,61721
Balcad,2013,1,183345
Banadir,2013,1,1622745
Bandarbeyla,2013,1,28846
Baraawe,2013,1,82302
Baydhaba,2013,1,380670
Belet Weyne,2013,1,248499
Belet Xaawo,2013,1,80821
Berbera,2013,1,142902
Borama,2013,1,659245
Bossaso,2013,1,365701
Bu'aale,2013,1,90289
Bulo Burto,2013,1,150908
Burco,2013,1,415182
Burtinle,2013,1,77621
Buuhoodle,2013,1,62363
Buur Hakaba,2013,1,145030
Cabudwaaq,2013,1,88643
Cadaado,2013,1,82889
Cadale,2013,1,67572
Caluula,2013,1,47168
Caynabo,2013,1,70452
Ceel Afweyn,2013,1,83050
Ceel Barde,2013,1,52867
Ceel Buur,2013,1,97586
Ceel Dheer,2013,1,98061
Ceel Waaq,2013,1,46447
Ceerigaabo,2013,1,200203
Dhuusamarreeb,2013,1,122242
Diinsoor,2013,1,133957
Doolow,2013,1,50664
Eyl,2013,1,75614
Gaalkacyo,2013,1,368458
Galdogob,2013,1,153053
Garbahaarey,2013,1,114712
Garoowe,2013,1,179877
Gebiley,2013,1,129434
Hargeysa,2013,1,986286
Hobyo,2013,1,94001
Iskushuban,2013,1,70884
Jalalaqsi,2013,1,83871
Jamaame,2013,1,147034
Jariiban,2013,1,88850
Jilib,2013,1,148016
Jowhar,2013,1,292557
Kismaayo,2013,1,164212
Kurtunwaarey,2013,1,196624
Laas Caanood,2013,1,147820
Laasqoray,2013,1,184134
Lughaye,2013,1,66342
Luuq,2013,1,85548
Marka,2013,1,350237
Owdweyne,2013,1,84538
Qandala,2013,1,130498
Qansax Dheere,2013,1,111326
Qardho,2013,1,158929
Qoryooley,2013,1,256506
Rab Dhuure,2013,1,55638
Saakow,2013,1,105538
Sablaale,2013,1,58155
Sheikh,2013,1,74941
Taleex,2013,1,74031
Tayeeglow,2013,1,90585
Waajid,2013,1,87459
Wanla Weyn,2013,1,206602
Xarardheere,2013,1,79873
Xudun,2013,1,63033
Xudur,2013,1,117287
Zeylac,2013,1,59497
Adan Yabaal,2013,2,77198
Afgooye,2013,2,383090
Afmadow,2013,2,153527
Baardheere,2013,2,149235
Badhaadhe,2013,2,70822
Baki,2013,2,61822
Balcad,2013,2,183644
Banadir,2013,2,1625396
Bandarbeyla,2013,2,28893
Baraawe,2013,2,82436
Baydhaba,2013,2,381291
Belet Weyne,2013,2,248905
Belet Xaawo,2013,2,80953
Berbera,2013,2,143135
Borama,2013,2,660322
Bossaso,2013,2,366298
Bu'aale,2013,2,90436
Bulo Burto,2013,2,151154
Burco,2013,2,415860
Burtinle,2013,2,77748
Buuhoodle,2013,2,62465
Buur Hakaba,2013,2,145267
Cabudwaaq,2013,2,88787
Cadaado,2013,2,83025
Cadale,2013,2,67682
Caluula,2013,2,47245
Caynabo,2013,2,70567
Ceel Afweyn,2013,2,83185
Ceel Barde,2013,2,52953
Ceel Buur,2013,2,97745
Ceel Dheer,2013,2,98221
Ceel Waaq,2013,2,46523
Ceerigaabo,2013,2,200530
Dhuusamarreeb,2013,2,122442
Diinsoor,2013,2,134176
Doolow,2013,2,50747
Eyl,2013,2,75737
Gaalkacyo,2013,2,369059
Galdogob,2013,2,153303
Garbahaarey,2013,2,114899
Garoowe,2013,2,180171
Gebiley,2013,2,129645
Hargeysa,2013,2,987897
Hobyo,2013,2,94155
Iskushuban,2013,2,71000
Jalalaqsi,2013,2,84008
Jamaame,2013,2,147274
Jariiban,2013,2,88995
Jilib,2013,2,148258
Jowhar,2013,2,293035
Kismaayo,2013,2,164480
Kurtunwaarey,2013,2,196945
Laas Caanood,2013,2,148061
Laasqoray,2013,2,184435
Lughaye,2013,2,66451
Luuq,2013,2,85688
Marka,2013,2,350809
Owdweyne,2013,2,84677
Qandala,2013,2,130711
Qansax Dheere,2013,2,111508
Qardho,2013,2,159189
Qoryooley,2013,2,256925
Rab Dhuure,2013,2,55729
Saakow,2013,2,105710
Sablaale,2013,2,58249
Sheikh,2013,2,75063
Taleex,2013,2,74152
Tayeeglow,2013,2,90733
Waajid,2013,2,87602
Wanla Weyn,2013,2,206940
Xarardheere,2013,2,80004
Xudun,2013,2,63136
Xudur,2013,2,117479
Zeylac,2013,2,59594
Adan Yabaal,2013,3,77324
Afgooye,2013,3,383715
Afmadow,2013,3,153777
Baardheere,2013,3,149478
Badhaadhe,2013,3,70938
Baki,2013,3,61923
Balcad,2013,3,183944
Banadir,2013,3,1628051
Bandarbeyla,2013,3,28941
Baraawe,2013,3,82571
Baydhaba,2013,3,381914
Belet Weyne,2013,3,249312
Belet Xaawo,2013,3,81085
Berbera,2013,3,143369
Borama,2013,3,661400
Bossaso,2013,3,366896
Bu'aale,2013,3,90584
Bulo Burto,2013,3,151401
Burco,2013,3,416539
Burtinle,2013,3,77875
Buuhoodle,2013,3,62567
Buur Hakaba,2013,3,145504
Cabudwaaq,2013,3,88932
Cadaado,2013,3,83160
Cadale,2013,3,67793
Caluula,2013,3,47322
Caynabo,2013,3,70682
Ceel Afweyn,2013,3,83321
Ceel Barde,2013,3,53040
Ceel Buur,2013,3,97904
Ceel Dheer,2013,3,98381
Ceel Waaq,2013,3,46599
Ceerigaabo,2013,3,200857
Dhuusamarreeb,2013,3,122642
Diinsoor,2013,3,134395
Doolow,2013,3,50830
Eyl,2013,3,75861
Gaalkacyo,2013,3,369662
Galdogob,2013,3,153553
Garbahaarey,2013,3,115087
Garoowe,2013,3,180465
Gebiley,2013,3,129857
Hargeysa,2013,3,989511
Hobyo,2013,3,94309
Iskushuban,2013,3,71116
Jalalaqsi,2013,3,84145
Jamaame,2013,3,147515
Jariiban,2013,3,89140
Jilib,2013,3,148500
Jowhar,2013,3,293513
Kismaayo,2013,3,164749
Kurtunwaarey,2013,3,197266
Laas Caanood,2013,3,148303
Laasqoray,2013,3,184736
Lughaye,2013,3,66559
Luuq,2013,3,85828
Marka,2013,3,351382
Owdweyne,2013,3,84815
Qandala,2013,3,130925
Qansax Dheere,2013,3,111690
Qardho,2013,3,159449
Qoryooley,2013,3,257345
Rab Dhuure,2013,3,55820
Saakow,2013,3,105883
Sablaale,2013,3,58345
Sheikh,2013,3,75185
Taleex,2013,3,74273
Tayeeglow,2013,3,90881
Waajid,2013,3,87745
Wanla Weyn,2013,3,207278
Xarardheere,2013,3,80135
Xudun,2013,3,63239
Xudur,2013,3,117671
Zeylac,2013,3,59691
Adan Yabaal,2013,4,77450
Afgooye,2013,4,384342
Afmadow,2013,4,154028
Baardheere,2013,4,149723
Badhaadhe,2013,4,71054
Baki,2013,4,62024
Balcad,2013,4,184245
Banadir,2013,4,1630710
Bandarbeyla,2013,4,28988
Baraawe,2013,4,82706
Baydhaba,2013,4,382538
Belet Weyne,2013,4,249719
Belet Xaawo,2013,4,81218
Berbera,2013,4,143603
Borama,2013,4,662480
Bossaso,2013,4,367495
Bu'aale,2013,4,90731
Bulo Burto,2013,4,151648
Burco,2013,4,417220
Burtinle,2013,4,78002
Buuhoodle,2013,4,62669
Buur Hakaba,2013,4,145742
Cabudwaaq,2013,4,89077
Cadaado,2013,4,83296
Cadale,2013,4,67904
Caluula,2013,4,47399
Caynabo,2013,4,70798
Ceel Afweyn,2013,4,83457
Ceel Barde,2013,4,53126
Ceel Buur,2013,4,98065
Ceel Dheer,2013,4,98542
Ceel Waaq,2013,4,46675
Ceerigaabo,2013,4,201185
Dhuusamarreeb,2013,4,122842
Diinsoor,2013,4,134615
Doolow,2013,4,50913
Eyl,2013,4,75985
Gaalkacyo,2013,4,370266
Galdogob,2013,4,153804
Garbahaarey,2013,4,115275
Garoowe,2013,4,180760
Gebiley,2013,4,130069
Hargeysa,2013,4,991127
Hobyo,2013,4,94463
Iskushuban,2013,4,71232
Jalalaqsi,2013,4,84282
Jamaame,2013,4,147755
Jariiban,2013,4,89286
Jilib,2013,4,148743
Jowhar,2013,4,293993
Kismaayo,2013,4,165018
Kurtunwaarey,2013,4,197589
Laas Caanood,2013,4,148545
Laasqoray,2013,4,185038
Lughaye,2013,4,66668
Luuq,2013,4,85968
Marka,2013,4,351956
Owdweyne,2013,4,84953
Qandala,2013,4,131139
Qansax Dheere,2013,4,111873
Qardho,2013,4,159709
Qoryooley,2013,4,257765
Rab Dhuure,2013,4,55912
Saakow,2013,4,106056
Sablaale,2013,4,58440
Sheikh,2013,4,75308
Taleex,2013,4,74394
Tayeeglow,2013,4,91030
Waajid,2013,4,87888
Wanla Weyn,2013,4,207616
Xarardheere,2013,4,80265
Xudun,2013,4,63342
Xudur,2013,4,117863
Zeylac,2013,4,59789
Adan Yabaal,2013,5,77577
Afgooye,2013,5,384970
Afmadow,2013,5,154280
Baardheere,2013,5,149967
Badhaadhe,2013,5,71170
Baki,2013,5,62125
Balcad,2013,5,184545
Banadir,2013,5,1633373
Bandarbeyla,2013,5,29035
Baraawe,2013,5,82841
Baydhaba,2013,5,383163
Belet Weyne,2013,5,250127
Belet Xaawo,2013,5,81350
Berbera,2013,5,143837
Borama,2013,5,663562
Bossaso,2013,5,368096
Bu'aale,2013,5,90880
Bulo Burto,2013,5,151896
Burco,2013,5,417901
Burtinle,2013,5,78129
Buuhoodle,2013,5,62772
Buur Hakaba,2013,5,145979
Cabudwaaq,2013,5,89223
Cadaado,2013,5,83432
Cadale,2013,5,68015
Caluula,2013,5,47477
Caynabo,2013,5,70913
Ceel Afweyn,2013,5,83594
Ceel Barde,2013,5,53213
Ceel Buur,2013,5,98224
Ceel Dheer,2013,5,98703
Ceel Waaq,2013,5,46751
Ceerigaabo,2013,5,201514
Dhuusamarreeb,2013,5,123042
Diinsoor,2013,5,134835
Doolow,2013,5,50996
Eyl,2013,5,76109
Gaalkacyo,2013,5,370871
Galdogob,2013,5,154055
Garbahaarey,2013,5,115463
Garoowe,2013,5,181055
Gebiley,2013,5,130282
Hargeysa,2013,5,992745
Hobyo,2013,5,94617
Iskushuban,2013,5,71348
Jalalaqsi,2013,5,84420
Jamaame,2013,5,147997
Jariiban,2013,5,89431
Jilib,2013,5,148986
Jowhar,2013,5,294473
Kismaayo,2013,5,165288
Kurtunwaarey,2013,5,197912
Laas Caanood,2013,5,148788
Laasqoray,2013,5,185340
Lughaye,2013,5,66777
Luuq,2013,5,86109
Marka,2013,5,352531
Owdweyne,2013,5,85092
Qandala,2013,5,131353
Qansax Dheere,2013,5,112055
Qardho,2013,5,159970
Qoryooley,2013,5,258186
Rab Dhuure,2013,5,56003
Saakow,2013,5,106229
Sablaale,2013,5,58535
Sheikh,2013,5,75431
Taleex,2013,5,74516
Tayeeglow,2013,5,91178
Waajid,2013,5,88031
Wanla Weyn,2013,5,207955
Xarardheere,2013,5,80396
Xudun,2013,5,63445
Xudur,2013,5,118056
Zeylac,2013,5,59887
Adan Yabaal,2013,6,77704
Afgooye,2013,6,385599
Afmadow,2013,6,154532
Baardheere,2013,6,150212
Badhaadhe,2013,6,71286
Baki,2013,6,62227
Balcad,2013,6,184847
Banadir,2013,6,1636041
Bandarbeyla,2013,6,29083
Baraawe,2013,6,82976
Baydhaba,2013,6,383789
Belet Weyne,2013,6,250535
Belet Xaawo,2013,6,81484
Berbera,2013,6,144073
Borama,2013,6,664646
Bossaso,2013,6,368697
Bu'aale,2013,6,91028
Bulo Burto,2013,6,152144
Burco,2013,6,418584
Burtinle,2013,6,78257
Buuhoodle,2013,6,62874
Buur Hakaba,2013,6,146218
Cabudwaaq,2013,6,89369
Cadaado,2013,6,83568
Cadale,2013,6,68126
Caluula,2013,6,47554
Caynabo,2013,6,71029
Ceel Afweyn,2013,6,83730
Ceel Barde,2013,6,53300
Ceel Buur,2013,6,98385
Ceel Dheer,2013,6,98864
Ceel Waaq,2013,6,46828
Ceerigaabo,2013,6,201843
Dhuusamarreeb,2013,6,123243
Diinsoor,2013,6,135055
Doolow,2013,6,51079
Eyl,2013,6,76233
Gaalkacyo,2013,6,371476
Galdogob,2013,6,154307
Garbahaarey,2013,6,115652
Garoowe,2013,6,181350
Gebiley,2013,6,130494
Hargeysa,2013,6,994367
Hobyo,2013,6,94771
Iskushuban,2013,6,71465
Jalalaqsi,2013,6,84558
Jamaame,2013,6,148239
Jariiban,2013,6,89577
Jilib,2013,6,149229
Jowhar,2013,6,294954
Kismaayo,2013,6,165558
Kurtunwaarey,2013,6,198235
Laas Caanood,2013,6,149031
Laasqoray,2013,6,185643
Lughaye,2013,6,66886
Luuq,2013,6,86249
Marka,2013,6,353106
Owdweyne,2013,6,85231
Qandala,2013,6,131567
Qansax Dheere,2013,6,112238
Qardho,2013,6,160231
Qoryooley,2013,6,258608
Rab Dhuure,2013,6,56094
Saakow,2013,6,106403
Sablaale,2013,6,58631
Sheikh,2013,6,75555
Taleex,2013,6,74638
Tayeeglow,2013,6,91327
Waajid,2013,6,88175
Wanla Weyn,2013,6,208295
Xarardheere,2013,6,80528
Xudun,2013,6,63549
Xudur,2013,6,118248
Zeylac,2013,6,59985
Adan Yabaal,2013,7,77830
Afgooye,2013,7,386228
Afmadow,2013,7,154784
Baardheere,2013,7,150458
Badhaadhe,2013,7,71402
Baki,2013,7,62329
Balcad,2013,7,185149
Banadir,2013,7,1638713
Bandarbeyla,2013,7,29130
Baraawe,2013,7,83112
Baydhaba,2013,7,384416
Belet Weyne,2013,7,250944
Belet Xaawo,2013,7,81616
Berbera,2013,7,144308
Borama,2013,7,665732
Bossaso,2013,7,369299
Bu'aale,2013,7,91177
Bulo Burto,2013,7,152393
Burco,2013,7,419267
Burtinle,2013,7,78384
Buuhoodle,2013,7,62977
Buur Hakaba,2013,7,146457
Cabudwaaq,2013,7,89515
Cadaado,2013,7,83705
Cadale,2013,7,68237
Caluula,2013,7,47632
Caynabo,2013,7,71145
Ceel Afweyn,2013,7,83867
Ceel Barde,2013,7,53387
Ceel Buur,2013,7,98546
Ceel Dheer,2013,7,99025
Ceel Waaq,2013,7,46904
Ceerigaabo,2013,7,202173
Dhuusamarreeb,2013,7,123445
Diinsoor,2013,7,135275
Doolow,2013,7,51163
Eyl,2013,7,76358
Gaalkacyo,2013,7,372083
Galdogob,2013,7,154559
Garbahaarey,2013,7,115841
Garoowe,2013,7,181647
Gebiley,2013,7,130707
Hargeysa,2013,7,995991
Hobyo,2013,7,94926
Iskushuban,2013,7,71581
Jalalaqsi,2013,7,84696
Jamaame,2013,7,148481
Jariiban,2013,7,89724
Jilib,2013,7,149473
Jowhar,2013,7,295436
Kismaayo,2013,7,165828
Kurtunwaarey,2013,7,198559
Laas Caanood,2013,7,149274
Laasqoray,2013,7,185946
Lughaye,2013,7,66995
Luuq,2013,7,86390
Marka,2013,7,353683
Owdweyne,2013,7,85370
Qandala,2013,7,131782
Qansax Dheere,2013,7,112422
Qardho,2013,7,160493
Qoryooley,2013,7,259030
Rab Dhuure,2013,7,56186
Saakow,2013,7,106576
Sablaale,2013,7,58727
Sheikh,2013,7,75678
Taleex,2013,7,74760
Tayeeglow,2013,7,91476
Waajid,2013,7,88320
Wanla Weyn,2013,7,208635
Xarardheere,2013,7,80660
Xudun,2013,7,63653
Xudur,2013,7,118441
Zeylac,2013,7,60082
Adan Yabaal,2013,8,77957
Afgooye,2013,8,386859
Afmadow,2013,8,155037
Baardheere,2013,8,150704
Badhaadhe,2013,8,71519
Baki,2013,8,62430
Balcad,2013,8,185451
Banadir,2013,8,1641390
Bandarbeyla,2013,8,29178
Baraawe,2013,8,83247
Baydhaba,2013,8,385043
Belet Weyne,2013,8,251355
Belet Xaawo,2013,8,81750
Berbera,2013,8,144544
Borama,2013,8,666819
Bossaso,2013,8,369902
Bu'aale,2013,8,91326
Bulo Burto,2013,8,152642
Burco,2013,8,419952
Burtinle,2013,8,78513
Buuhoodle,2013,8,63080
Buur Hakaba,2013,8,146696
Cabudwaaq,2013,8,89661
Cadaado,2013,8,83842
Cadale,2013,8,68349
Caluula,2013,8,47709
Caynabo,2013,8,71261
Ceel Afweyn,2013,8,84004
Ceel Barde,2013,8,53474
Ceel Buur,2013,8,98707
Ceel Dheer,2013,8,99187
Ceel Waaq,2013,8,46981
Ceerigaabo,2013,8,202503
Dhuusamarreeb,2013,8,123646
Diinsoor,2013,8,135496
Doolow,2013,8,51246
Eyl,2013,8,76483
Gaalkacyo,2013,8,372691
Galdogob,2013,8,154811
Garbahaarey,2013,8,116030
Garoowe,2013,8,181944
Gebiley,2013,8,130921
Hargeysa,2013,8,997618
Hobyo,2013,8,95081
Iskushuban,2013,8,71698
Jalalaqsi,2013,8,84834
Jamaame,2013,8,148723
Jariiban,2013,8,89870
Jilib,2013,8,149717
Jowhar,2013,8,295918
Kismaayo,2013,8,166099
Kurtunwaarey,2013,8,198883
Laas Caanood,2013,8,149518
Laasqoray,2013,8,186250
Lughaye,2013,8,67105
Luuq,2013,8,86531
Marka,2013,8,354261
Owdweyne,2013,8,85510
Qandala,2013,8,131998
Qansax Dheere,2013,8,112605
Qardho,2013,8,160755
Qoryooley,2013,8,259453
Rab Dhuure,2013,8,56278
Saakow,2013,8,106750
Sablaale,2013,8,58823
Sheikh,2013,8,75802
Taleex,2013,8,74882
Tayeeglow,2013,8,91626
Waajid,2013,8,88464
Wanla Weyn,2013,8,208976
Xarardheere,2013,8,80791
Xudun,2013,8,63757
Xudur,2013,8,118635
Zeylac,2013,8,60180
Adan Yabaal,2013,9,78085
Afgooye,2013,9,387491
Afmadow,2013,9,155290
Baardheere,2013,9,150950
Badhaadhe,2013,9,71636
Baki,2013,9,62532
Balcad,2013,9,185754
Banadir,2013,9,1644071
Bandarbeyla,2013,9,29226
Baraawe,2013,9,83384
Baydhaba,2013,9,385672
Belet Weyne,2013,9,251765
Belet Xaawo,2013,9,81883
Berbera,2013,9,144780
Borama,2013,9,667908
Bossaso,2013,9,370507
Bu'aale,2013,9,91475
Bulo Burto,2013,9,152891
Burco,2013,9,420638
Burtinle,2013,9,78641
Buuhoodle,2013,9,63183
Buur Hakaba,2013,9,146936
Cabudwaaq,2013,9,89807
Cadaado,2013,9,83979
Cadale,2013,9,68460
Caluula,2013,9,47787
Caynabo,2013,9,71378
Ceel Afweyn,2013,9,84141
Ceel Barde,2013,9,53562
Ceel Buur,2013,9,98868
Ceel Dheer,2013,9,99349
Ceel Waaq,2013,9,47057
Ceerigaabo,2013,9,202834
Dhuusamarreeb,2013,9,123848
Diinsoor,2013,9,135718
Doolow,2013,9,51330
Eyl,2013,9,76607
Gaalkacyo,2013,9,373300
Galdogob,2013,9,155064
Garbahaarey,2013,9,116220
Garoowe,2013,9,182241
Gebiley,2013,9,131135
Hargeysa,2013,9,999247
Hobyo,2013,9,95237
Iskushuban,2013,9,71815
Jalalaqsi,2013,9,84973
Jamaame,2013,9,148966
Jariiban,2013,9,90017
Jilib,2013,9,149962
Jowhar,2013,9,296401
Kismaayo,2013,9,166370
Kurtunwaarey,2013,9,199208
Laas Caanood,2013,9,149762
Laasqoray,2013,9,186554
Lughaye,2013,9,67214
Luuq,2013,9,86673
Marka,2013,9,354840
Owdweyne,2013,9,85649
Qandala,2013,9,132213
Qansax Dheere,2013,9,112789
Qardho,2013,9,161018
Qoryooley,2013,9,259877
Rab Dhuure,2013,9,56370
Saakow,2013,9,106925
Sablaale,2013,9,58919
Sheikh,2013,9,75925
Taleex,2013,9,75004
Tayeeglow,2013,9,91775
Waajid,2013,9,88608
Wanla Weyn,2013,9,209317
Xarardheere,2013,9,80923
Xudun,2013,9,63861
Xudur,2013,9,118829
Zeylac,2013,9,60279
Adan Yabaal,2013,10,78212
Afgooye,2013,10,388124
Afmadow,2013,10,155544
Baardheere,2013,10,151196
Badhaadhe,2013,10,71753
Baki,2013,10,62634
Balcad,2013,10,186057
Banadir,2013,10,1646756
Bandarbeyla,2013,10,29273
Baraawe,2013,10,83519
Baydhaba,2013,10,386302
Belet Weyne,2013,10,252176
Belet Xaawo,2013,10,82017
Berbera,2013,10,145016
Borama,2013,10,668999
Bossaso,2013,10,371112
Bu'aale,2013,10,91624
Bulo Burto,2013,10,153141
Burco,2013,10,421325
Burtinle,2013,10,78769
Buuhoodle,2013,10,63286
Buur Hakaba,2013,10,147176
Cabudwaaq,2013,10,89954
Cadaado,2013,10,84116
Cadale,2013,10,68572
Caluula,2013,10,47865
Caynabo,2013,10,71494
Ceel Afweyn,2013,10,84278
Ceel Barde,2013,10,53649
Ceel Buur,2013,10,99029
Ceel Dheer,2013,10,99512
Ceel Waaq,2013,10,47135
Ceerigaabo,2013,10,203165
Dhuusamarreeb,2013,10,124051
Diinsoor,2013,10,135939
Doolow,2013,10,51414
Eyl,2013,10,76733
Gaalkacyo,2013,10,373910
Galdogob,2013,10,155317
Garbahaarey,2013,10,116409
Garoowe,2013,10,182539
Gebiley,2013,10,131349
Hargeysa,2013,10,1000879
Hobyo,2013,10,95392
Iskushuban,2013,10,71933
Jalalaqsi,2013,10,85112
Jamaame,2013,10,149209
Jariiban,2013,10,90164
Jilib,2013,10,150206
Jowhar,2013,10,296886
Kismaayo,2013,10,166642
Kurtunwaarey,2013,10,199533
Laas Caanood,2013,10,150006
Laasqoray,2013,10,186859
Lughaye,2013,10,67324
Luuq,2013,10,86814
Marka,2013,10,355419
Owdweyne,2013,10,85789
Qandala,2013,10,132429
Qansax Dheere,2013,10,112973
Qardho,2013,10,161281
Qoryooley,2013,10,260302
Rab Dhuure,2013,10,56462
Saakow,2013,10,107100
Sablaale,2013,10,59015
Sheikh,2013,10,76050
Taleex,2013,10,75127
Tayeeglow,2013,10,91925
Waajid,2013,10,88753
Wanla Weyn,2013,10,209659
Xarardheere,2013,10,81055
Xudun,2013,10,63965
Xudur,2013,10,119023
Zeylac,2013,10,60377
Adan Yabaal,2013,11,78340
Afgooye,2013,11,388758
Afmadow,2013,11,155798
Baardheere,2013,11,151443
Badhaadhe,2013,11,71870
Baki,2013,11,62737
Balcad,2013,11,186361
Banadir,2013,11,1649446
Bandarbeyla,2013,11,29321
Baraawe,2013,11,83656
Baydhaba,2013,11,386933
Belet Weyne,2013,11,252588
Belet Xaawo,2013,11,82151
Berbera,2013,11,145253
Borama,2013,11,670092
Bossaso,2013,11,371718
Bu'aale,2013,11,91774
Bulo Burto,2013,11,153391
Burco,2013,11,422013
Burtinle,2013,11,78898
Buuhoodle,2013,11,63389
Buur Hakaba,2013,11,147416
Cabudwaaq,2013,11,90101
Cadaado,2013,11,84253
Cadale,2013,11,68684
Caluula,2013,11,47944
Caynabo,2013,11,71611
Ceel Afweyn,2013,11,84416
Ceel Barde,2013,11,53737
Ceel Buur,2013,11,99191
Ceel Dheer,2013,11,99674
Ceel Waaq,2013,11,47211
Ceerigaabo,2013,11,203497
Dhuusamarreeb,2013,11,124253
Diinsoor,2013,11,136161
Doolow,2013,11,51498
Eyl,2013,11,76858
Gaalkacyo,2013,11,374520
Galdogob,2013,11,155571
Garbahaarey,2013,11,116599
Garoowe,2013,11,182836
Gebiley,2013,11,131563
Hargeysa,2013,11,1002514
Hobyo,2013,11,95548
Iskushuban,2013,11,72050
Jalalaqsi,2013,11,85251
Jamaame,2013,11,149453
Jariiban,2013,11,90311
Jilib,2013,11,150452
Jowhar,2013,11,297370
Kismaayo,2013,11,166914
Kurtunwaarey,2013,11,199859
Laas Caanood,2013,11,150252
Laasqoray,2013,11,187164
Lughaye,2013,11,67434
Luuq,2013,11,86956
Marka,2013,11,355999
Owdweyne,2013,11,85929
Qandala,2013,11,132645
Qansax Dheere,2013,11,113158
Qardho,2013,11,161544
Qoryooley,2013,11,260727
Rab Dhuure,2013,11,56554
Saakow,2013,11,107274
Sablaale,2013,11,59111
Sheikh,2013,11,76174
Taleex,2013,11,75249
Tayeeglow,2013,11,92075
Waajid,2013,11,88898
Wanla Weyn,2013,11,210002
Xarardheere,2013,11,81187
Xudun,2013,11,64070
Xudur,2013,11,119217
Zeylac,2013,11,60476
Adan Yabaal,2013,12,78468
Afgooye,2013,12,389393
Afmadow,2013,12,156053
Baardheere,2013,12,151690
Badhaadhe,2013,12,71987
Baki,2013,12,62839
Balcad,2013,12,186666
Banadir,2013,12,1652140
Bandarbeyla,2013,12,29369
Baraawe,2013,12,83793
Baydhaba,2013,12,387565
Belet Weyne,2013,12,253001
Belet Xaawo,2013,12,82285
Berbera,2013,12,145490
Borama,2013,12,671186
Bossaso,2013,12,372325
Bu'aale,2013,12,91924
Bulo Burto,2013,12,153641
Burco,2013,12,422703
Burtinle,2013,12,79027
Buuhoodle,2013,12,63493
Buur Hakaba,2013,12,147657
Cabudwaaq,2013,12,90248
Cadaado,2013,12,84391
Cadale,2013,12,68796
Caluula,2013,12,48022
Caynabo,2013,12,71728
Ceel Afweyn,2013,12,84554
Ceel Barde,2013,12,53825
Ceel Buur,2013,12,99353
Ceel Dheer,2013,12,99837
Ceel Waaq,2013,12,47288
Ceerigaabo,2013,12,203829
Dhuusamarreeb,2013,12,124456
Diinsoor,2013,12,136384
Doolow,2013,12,51582
Eyl,2013,12,76983
Gaalkacyo,2013,12,375132
Galdogob,2013,12,155825
Garbahaarey,2013,12,116790
Garoowe,2013,12,183135
Gebiley,2013,12,131778
Hargeysa,2013,12,1004152
Hobyo,2013,12,95704
Iskushuban,2013,12,72168
Jalalaqsi,2013,12,85390
Jamaame,2013,12,149697
Jariiban,2013,12,90459
Jilib,2013,12,150697
Jowhar,2013,12,297856
Kismaayo,2013,12,167187
Kurtunwaarey,2013,12,200185
Laas Caanood,2013,12,150497
Laasqoray,2013,12,187470
Lughaye,2013,12,67544
Luuq,2013,12,87098
Marka,2013,12,356581
Owdweyne,2013,12,86070
Qandala,2013,12,132862
Qansax Dheere,2013,12,113343
Qardho,2013,12,161808
Qoryooley,2013,12,261153
Rab Dhuure,2013,12,56646
Saakow,2013,12,107450
Sablaale,2013,12,59208
Sheikh,2013,12,76298
Taleex,2013,12,75372
Tayeeglow,2013,12,92226
Waajid,2013,12,89043
Wanla Weyn,2013,12,210345
Xarardheere,2013,12,81320
Xudun,2013,12,64175
Xudur,2013,12,119412
Zeylac,2013,12,60575
Adan Yabaal,2014,1,78596
Afgooye,2014,1,390029
Afmadow,2014,1,156307
Baardheere,2014,1,151938
Badhaadhe,2014,1,72105
Baki,2014,1,62942
Balcad,2014,1,186971
Banadir,2014,1,1654838
Bandarbeyla,2014,1,29417
Baraawe,2014,1,83930
Baydhaba,2014,1,388198
Belet Weyne,2014,1,253414
Belet Xaawo,2014,1,82420
Berbera,2014,1,145728
Borama,2014,1,672283
Bossaso,2014,1,372933
Bu'aale,2014,1,92074
Bulo Burto,2014,1,153892
Burco,2014,1,423393
Burtinle,2014,1,79156
Buuhoodle,2014,1,63597
Buur Hakaba,2014,1,147898
Cabudwaaq,2014,1,90396
Cadaado,2014,1,84528
Cadale,2014,1,68909
Caluula,2014,1,48100
Caynabo,2014,1,71845
Ceel Afweyn,2014,1,84692
Ceel Barde,2014,1,53913
Ceel Buur,2014,1,99515
Ceel Dheer,2014,1,1.00E+05
Ceel Waaq,2014,1,47366
Ceerigaabo,2014,1,204162
Dhuusamarreeb,2014,1,124660
Diinsoor,2014,1,136606
Doolow,2014,1,51666
Eyl,2014,1,77109
Gaalkacyo,2014,1,375744
Galdogob,2014,1,156079
Garbahaarey,2014,1,116981
Garoowe,2014,1,183434
Gebiley,2014,1,131994
Hargeysa,2014,1,1005792
Hobyo,2014,1,95860
Iskushuban,2014,1,72286
Jalalaqsi,2014,1,85529
Jamaame,2014,1,149942
Jariiban,2014,1,90607
Jilib,2014,1,150943
Jowhar,2014,1,298343
Kismaayo,2014,1,167460
Kurtunwaarey,2014,1,200513
Laas Caanood,2014,1,150743
Laasqoray,2014,1,187776
Lughaye,2014,1,67654
Luuq,2014,1,87240
Marka,2014,1,357163
Owdweyne,2014,1,86210
